task,base_cost,cand_cost,gain,cand_score,prior,fresh_decision,fresh_fails,fresh_total,disposition,adopted
15,182,168,0.08,19.876,False,ADOPT,0,30,ADOPTED_MAIN,True
18,5535,5451,0.0153,16.3964,False,REJECT,1,30,REJECTED_FRESH,False
42,282,277,0.0179,19.376,False,ADOPT,0,30,ADOPTED_MAIN,True
55,252,240,0.0488,19.5194,False,ADOPT,0,30,ADOPTED_MAIN,True
64,301,299,0.0067,19.2996,False,ADOPT,0,30,ADOPTED_MAIN,True
65,267,264,0.0113,19.4241,False,ADOPT,0,30,ADOPTED_MAIN,True
77,3671,3596,0.0206,16.8124,True,ADOPT,0,30,DROPPED_PRIOR_SMALLGAIN,False
81,227,214,0.059,19.634,False,ADOPT,0,30,ADOPTED_MAIN,True
85,226,164,0.3207,19.9001,False,ADOPT,0,30,ADOPTED_MAIN,True
86,1215,1174,0.0343,17.9318,True,ADOPT,0,30,DROPPED_PRIOR_SMALLGAIN,False
88,268,261,0.0265,19.4355,False,ADOPT,0,30,ADOPTED_MAIN,True
89,1881,1880,0.0005,17.461,False,ADOPT,0,30,ADOPTED_MAIN,True
90,1119,1110,0.0081,17.9879,True,ADOPT,0,30,DROPPED_PRIOR_SMALLGAIN,False
91,306,298,0.0265,19.3029,False,ADOPT,0,30,ADOPTED_MAIN,True
101,6849,6818,0.0045,16.1727,True,ADOPT,0,30,DROPPED_PRIOR_SMALLGAIN,False
106,202,170,0.1725,19.8642,False,ADOPT,0,30,ADOPTED_MAIN,True
114,204,194,0.0503,19.7321,False,ADOPT,0,30,ADOPTED_MAIN,True
115,203,202,0.0049,19.6917,False,ADOPT,0,30,ADOPTED_MAIN,True
119,327,206,0.4621,19.6721,False,ADOPT,0,30,ADOPTED_MAIN,True
125,1495,1494,0.0007,17.6908,False,ADOPT,0,30,ADOPTED_MAIN,True
126,221,220,0.0045,19.6064,False,ADOPT,0,30,ADOPTED_MAIN,True
143,247,219,0.1203,19.6109,False,ADOPT,0,30,ADOPTED_MAIN,True
145,8741,8520,0.0256,15.9498,True,ADOPT,0,30,DROPPED_PRIOR_SMALLGAIN,False
148,319,309,0.0318,19.2667,False,ADOPT,0,30,ADOPTED_MAIN,True
153,243,241,0.0083,19.5152,False,ADOPT,0,30,ADOPTED_MAIN,True
157,1141,1031,0.1014,18.0617,False,ADOPT,0,30,ADOPTED_MAIN,True
163,210,206,0.0192,19.6721,False,ADOPT,0,30,ADOPTED_MAIN,True
175,228,223,0.0222,19.5928,False,ADOPT,0,30,ADOPTED_MAIN,True
182,1960,1889,0.0369,17.4562,False,ADOPT,0,30,ADOPTED_MAIN,True
183,257,242,0.0601,19.5111,False,ADOPT,0,30,ADOPTED_MAIN,True
185,321,185,0.5511,19.7796,True,ADOPT,0,30,QUARANTINE_PRIVATE0,False
189,286,244,0.1588,19.5028,True,ADOPT,0,30,ADOPTED_PROBE,True
191,3901,3888,0.0033,16.7343,False,ADOPT,0,30,ADOPTED_MAIN,True
195,217,215,0.0093,19.6294,False,ADOPT,0,30,ADOPTED_MAIN,True
205,1129,1121,0.0071,17.978,True,REJECT,1,30,REJECTED_FRESH,False
206,318,317,0.0031,19.2411,False,ADOPT,0,30,ADOPTED_MAIN,True
212,248,240,0.0328,19.5194,False,ADOPT,0,30,ADOPTED_MAIN,True
219,1756,1742,0.008,17.5372,False,REJECT,1,30,REJECTED_FRESH,False
221,203,185,0.0929,19.7796,False,ADOPT,0,30,ADOPTED_MAIN,True
233,15592,13930,0.1127,15.4582,True,REJECT,2,30,REJECTED_FRESH,False
240,238,227,0.0473,19.575,False,ADOPT,0,30,ADOPTED_MAIN,True
247,215,212,0.0141,19.6434,False,ADOPT,0,30,ADOPTED_MAIN,True
253,179,135,0.2821,20.0947,False,ADOPT,0,30,ADOPTED_MAIN,True
259,242,241,0.0041,19.5152,False,ADOPT,0,30,ADOPTED_MAIN,True
263,196,193,0.0154,19.7373,False,ADOPT,0,30,ADOPTED_MAIN,True
268,1313,1211,0.0809,17.9008,False,ADOPT,0,30,ADOPTED_MAIN,True
278,223,211,0.0553,19.6481,False,ADOPT,0,30,ADOPTED_MAIN,True
286,11405,10827,0.052,15.7102,True,REJECT,3,30,REJECTED_FRESH,False
288,208,159,0.2686,19.9311,False,ADOPT,0,30,ADOPTED_MAIN,True
301,245,241,0.0165,19.5152,False,ADOPT,0,30,ADOPTED_MAIN,True
304,198,195,0.0153,19.727,False,ADOPT,0,30,ADOPTED_MAIN,True
323,126,114,0.1001,20.2638,False,ADOPT,0,30,ADOPTED_MAIN,True
331,199,174,0.1342,19.8409,False,ADOPT,0,30,ADOPTED_MAIN,True
341,320,305,0.048,19.2797,False,ADOPT,0,30,ADOPTED_MAIN,True
349,4635,4595,0.0087,16.5673,False,ADOPT,0,30,ADOPTED_MAIN,True
351,226,197,0.1373,19.7168,False,ADOPT,0,30,ADOPTED_MAIN,True
354,1249,1207,0.0342,17.9041,False,ADOPT,0,30,ADOPTED_MAIN,True
355,291,271,0.0712,19.3979,False,REJECT,1,30,REJECTED_FRESH,False
358,244,228,0.0678,19.5707,False,ADOPT,0,30,ADOPTED_MAIN,True
365,2020,1912,0.0549,17.4441,True,ADOPT,0,30,DROPPED_PRIOR_SMALLGAIN,False
366,8958,8940,0.002,15.9017,True,ADOPT,0,28,DROPPED_PRIOR_SMALLGAIN,False
369,232,195,0.1737,19.727,False,ADOPT,0,30,ADOPTED_MAIN,True
384,225,188,0.1797,19.7636,False,ADOPT,0,30,ADOPTED_MAIN,True
400,212,199,0.0633,19.7067,False,ADOPT,0,30,ADOPTED_MAIN,True
