task,candidate,sha256,method,checker_shape,conv_bias,candidate_cost,baseline_cost,known_right,known_total,runtime_errors,fresh,verdict,reason
73,scripts/golf/loop_8003_40/agent_changed_tasks/task073_truncated/task073_len1.onnx,93a6bcb32a4b54bdecc6df2f47c5122d9fde605b8827b4dcaa0cb3cc01b9e124,FIR truncate len=1,PASS,PASS,7,12,0,15,0,NOT_RUN_KNOWN_GATE_FAILED,REJECT,candidate failed local validation
73,scripts/golf/loop_8003_40/agent_changed_tasks/task073_truncated/task073_len2.onnx,f4c02ad68f3258ef0431afe811e8dff8629c5f5e77ed69b7cb453b4df3e6f13c,FIR truncate len=2,PASS,PASS,8,12,0,15,0,NOT_RUN_KNOWN_GATE_FAILED,REJECT,candidate failed local validation
73,scripts/golf/loop_8003_40/agent_changed_tasks/task073_truncated/task073_len3.onnx,6e058a4987d0e62ae97f06eaaa3ca4e2bd1df9fc997ab8a114757f4be127a30b,FIR truncate len=3,PASS,PASS,9,12,0,15,0,NOT_RUN_KNOWN_GATE_FAILED,REJECT,candidate failed local validation
73,scripts/golf/loop_8003_40/agent_changed_tasks/task073_truncated/task073_len4.onnx,bc153ee40c5986396088b5f36d380472d91f7d61d7b2f52705f3390f79ba7506,FIR truncate len=4,PASS,PASS,10,12,0,15,0,NOT_RUN_KNOWN_GATE_FAILED,REJECT,candidate failed local validation
73,scripts/golf/loop_8003_40/agent_changed_tasks/task073_truncated/task073_len5.onnx,74776af7c744b26dc5c20eb0ebdbfd6c4b4de398ff68f933fbd89e7d4ed028d8,FIR truncate len=5,PASS,PASS,11,12,0,15,0,NOT_RUN_KNOWN_GATE_FAILED,REJECT,candidate failed local validation
111,scripts/golf/loop_8003_40/dead_code_candidates/task111.onnx,e470a25e5281bef3693e88c94950c4e15fa934ae4cc8c0b6cb0c85990808c9b5,dead-node removal (shape-cloak trap),PASS,PASS,88,89,0,265,265,NOT_RUN_KNOWN_GATE_FAILED,REJECT,candidate failed local validation
122,scripts/golf/loop_8003_40/dead_code_candidates/task122.onnx,240a8ae2261f899a1ad0fb29971f26dd58cfee08ef9684f37a75b6c1788a74f5,dead-node removal (shape-cloak trap),PASS,PASS,101,101,0,266,266,NOT_RUN_KNOWN_GATE_FAILED,REJECT,candidate failed local validation; official-like cost did not decrease
260,scripts/golf/loop_8003_40/agent_changed_tasks/broadcast_prunes/task260_E_axis0_idx0.onnx,0b49dd2830d1ad36bc0dde9f6051ddf27669b80909c1bdd575cef192d7dd3d6d,singleton broadcast prune,PASS,PASS,70,100,0,266,0,NOT_RUN_KNOWN_GATE_FAILED,REJECT,candidate failed local validation
260,scripts/golf/loop_8003_40/agent_changed_tasks/broadcast_prunes/task260_E_axis0_idx1.onnx,05ac3a72b0c4d749701e7cf59740d8f2859cf69db0e04a2e955d9c4725d2ddd0,singleton broadcast prune,PASS,PASS,70,100,0,266,0,NOT_RUN_KNOWN_GATE_FAILED,REJECT,candidate failed local validation
260,scripts/golf/loop_8003_40/agent_changed_tasks/broadcast_prunes/task260_E_axis1_idx0.onnx,b0d9ec86a73aad477993140d4207552d94a2f405c92013940abe77feb82a9e20,singleton broadcast prune,PASS,PASS,42,100,0,266,0,NOT_RUN_KNOWN_GATE_FAILED,REJECT,candidate failed local validation
260,scripts/golf/loop_8003_40/agent_changed_tasks/broadcast_prunes/task260_E_axis1_idx29.onnx,986d64cd911eb39b7f13eee8d091fa8b7c4f5680ab5c45ba483f4c099e602921,singleton broadcast prune,PASS,PASS,42,100,0,266,0,NOT_RUN_KNOWN_GATE_FAILED,REJECT,candidate failed local validation
260,scripts/golf/loop_8003_40/agent_changed_tasks/broadcast_prunes/task260_Flip_axis0_idx0.onnx,3955c65a13c35909932dd2542e4982a71261fb1f8a651db77a9232beeec27f1f,singleton broadcast prune,PASS,PASS,98,100,0,266,0,NOT_RUN_KNOWN_GATE_FAILED,REJECT,candidate failed local validation
260,scripts/golf/loop_8003_40/agent_changed_tasks/broadcast_prunes/task260_Flip_axis0_idx1.onnx,697da45ef5a32e2a045c614c190dbc096046d01d7b2e390e5fbd307b4518cc44,singleton broadcast prune,PASS,PASS,98,100,0,266,0,NOT_RUN_KNOWN_GATE_FAILED,REJECT,candidate failed local validation
260,scripts/golf/loop_8003_40/agent_changed_tasks/broadcast_prunes/task260_Flip_axis1_idx0.onnx,c80961f445041966682bb92062e6f18f79b468fdf8566b9a0ab687239ecfe06e,singleton broadcast prune,PASS,PASS,98,100,0,266,0,NOT_RUN_KNOWN_GATE_FAILED,REJECT,candidate failed local validation
260,scripts/golf/loop_8003_40/agent_changed_tasks/broadcast_prunes/task260_Flip_axis1_idx1.onnx,28a7729fe33888ff5c60262c9658d37f247834217e209636cb367926167dbc34,singleton broadcast prune,PASS,PASS,98,100,0,266,0,NOT_RUN_KNOWN_GATE_FAILED,REJECT,candidate failed local validation
260,scripts/golf/loop_8003_40/agent_changed_tasks/broadcast_prunes/task260_S3_axis0_idx0.onnx,2d1943f83853a5c387e286718454b908fa84d9423db538ff6fa3d2570da91a0e,singleton broadcast prune,PASS,PASS,99,100,0,266,0,NOT_RUN_KNOWN_GATE_FAILED,REJECT,candidate failed local validation
260,scripts/golf/loop_8003_40/agent_changed_tasks/broadcast_prunes/task260_S3_axis0_idx1.onnx,748c05eb18fad05b48b58317ca3b209eeb54cef398fed31245065266b7f4269c,singleton broadcast prune,PASS,PASS,99,100,0,266,0,NOT_RUN_KNOWN_GATE_FAILED,REJECT,candidate failed local validation
260,scripts/golf/loop_8003_40/agent_changed_tasks/broadcast_prunes/task260_T3_axis0_idx0.onnx,c5e9a15e86caf670b8c3f3d8b77bc87516e5d950fa6c97c3f0a4719f5967ece1,singleton broadcast prune,PASS,PASS,99,100,0,266,0,NOT_RUN_KNOWN_GATE_FAILED,REJECT,candidate failed local validation
260,scripts/golf/loop_8003_40/agent_changed_tasks/broadcast_prunes/task260_T3_axis0_idx1.onnx,650ba02e96f16f50f7d678580045dd8d3538bba04caae4a4a24da9d0f90b7290,singleton broadcast prune,PASS,PASS,99,100,0,266,0,NOT_RUN_KNOWN_GATE_FAILED,REJECT,candidate failed local validation
260,scripts/golf/loop_8003_40/agent_changed_tasks/broadcast_prunes/task260_W_axis0_idx0.onnx,c44077fb3e90271e1c55392b4ea2dcf8eaf8a250b95dda8292b6d7d9743823cf,singleton broadcast prune,PASS,PASS,90,100,0,266,0,NOT_RUN_KNOWN_GATE_FAILED,REJECT,candidate failed local validation
260,scripts/golf/loop_8003_40/agent_changed_tasks/broadcast_prunes/task260_W_axis0_idx1.onnx,f2cc8d5f87ca6e690631bfec5871ff39beab82fee86333af4e54815c18b5ac70,singleton broadcast prune,PASS,PASS,90,100,7,266,0,NOT_RUN_KNOWN_GATE_FAILED,REJECT,candidate failed local validation
260,scripts/golf/loop_8003_40/agent_changed_tasks/broadcast_prunes/task260_W_axis1_idx0.onnx,ef71695ddd0d774ab351f5d2053f915c4f7f29fc1e153bc514312d57f393b192,singleton broadcast prune,PASS,PASS,82,100,0,266,0,NOT_RUN_KNOWN_GATE_FAILED,REJECT,candidate failed local validation
260,scripts/golf/loop_8003_40/agent_changed_tasks/broadcast_prunes/task260_W_axis1_idx9.onnx,469cefc83eeac18281c5a11453334035afb41c68cce4343fbf2a4575bb0f14f4,singleton broadcast prune,PASS,PASS,82,100,0,266,0,NOT_RUN_KNOWN_GATE_FAILED,REJECT,candidate failed local validation
260,scripts/golf/loop_8003_40/agent_changed_tasks/broadcast_prunes/task260_gate_axis0_idx0.onnx,b0fdb21548692d3a1facecbee781d9525bc2ab425f11d4d881f9eeb183854730,singleton broadcast prune,PASS,PASS,91,100,0,266,0,NOT_RUN_KNOWN_GATE_FAILED,REJECT,candidate failed local validation
260,scripts/golf/loop_8003_40/agent_changed_tasks/broadcast_prunes/task260_gate_axis0_idx9.onnx,1bdfbcd2419be4d58a8363b6b7b38ae4c4283450c586e2297415b505aa90bc54,singleton broadcast prune,PASS,PASS,91,100,0,266,0,NOT_RUN_KNOWN_GATE_FAILED,REJECT,candidate failed local validation
260,scripts/golf/loop_8003_40/agent_changed_tasks/broadcast_prunes/task260_v1_axis0_idx0.onnx,32933e4366160deab310943b3278d76e8179b226254b43d61966a75084f386eb,singleton broadcast prune,PASS,PASS,99,100,0,266,0,NOT_RUN_KNOWN_GATE_FAILED,REJECT,candidate failed local validation
260,scripts/golf/loop_8003_40/agent_changed_tasks/broadcast_prunes/task260_v1_axis0_idx1.onnx,e3143eefb0dd104cc8116abeaac37c76ec5410fba6408bf6dd142565285f047b,singleton broadcast prune,PASS,PASS,99,100,23,266,0,NOT_RUN_KNOWN_GATE_FAILED,REJECT,candidate failed local validation
271,others/2/7907/task271_improved.onnx,d6c7c02fe2bf418140136570c266fac48035eca273ef8f30c7947fa5bfe1d180,archived Gather candidate,PASS,PASS,10,135,0,267,0,NOT_RUN_KNOWN_GATE_FAILED,REJECT,candidate failed local validation
359,scripts/golf/loop_8003_40/agent_changed_tasks/broadcast_prunes/task359_E_axis1_idx0.onnx,d31990358268d107989cfff7ea02b953aaab23ec555092fd5eb1b87d0a35747a,singleton broadcast prune,PASS,PASS,14,24,0,266,0,NOT_RUN_KNOWN_GATE_FAILED,REJECT,candidate failed local validation
359,scripts/golf/loop_8003_40/agent_changed_tasks/broadcast_prunes/task359_E_axis1_idx1.onnx,e9c2b5ba4653bf0cda9735ba41785a94c8f8941d36258367ddc438d8459397a3,singleton broadcast prune,PASS,PASS,14,24,0,266,0,NOT_RUN_KNOWN_GATE_FAILED,REJECT,candidate failed local validation
359,scripts/golf/loop_8003_40/agent_changed_tasks/broadcast_prunes/task359_M_axis0_idx0.onnx,149cf16cd3bb45366333f0e603ec4ba14842807a6d5ead581072bcb64b179250,singleton broadcast prune,PASS,PASS,22,24,0,266,0,NOT_RUN_KNOWN_GATE_FAILED,REJECT,candidate failed local validation
359,scripts/golf/loop_8003_40/agent_changed_tasks/broadcast_prunes/task359_M_axis0_idx1.onnx,01a7d73bd595a06ddeefbb9750fbdc04aee7393e36979e6543a96791aa942682,singleton broadcast prune,PASS,PASS,22,24,0,266,0,NOT_RUN_KNOWN_GATE_FAILED,REJECT,candidate failed local validation
359,scripts/golf/loop_8003_40/agent_changed_tasks/broadcast_prunes/task359_M_axis1_idx0.onnx,6f7a99425b22fd6f678bed85534778e44dafa517995c783256d80a88aa849290,singleton broadcast prune,PASS,PASS,22,24,0,1,0,NOT_RUN_KNOWN_GATE_FAILED,REJECT,train[0] threshold mismatch (1097 cells)
359,scripts/golf/loop_8003_40/agent_changed_tasks/broadcast_prunes/task359_M_axis1_idx1.onnx,cb77b2ae865a659f9d0ddcabf764737c6e9f89ba3ee63bada15bbcfca108d7c1,singleton broadcast prune,PASS,PASS,22,24,0,1,0,NOT_RUN_KNOWN_GATE_FAILED,REJECT,train[0] threshold mismatch (1381 cells)
